nombre,latitud,longitud
Bogota,4.6126,-74.0705
Medellin,6.2447,-75.5748
Cali,3.44,-76.5197
Barranquilla,10.9639,-74.7964
Cartagena,10.4236,-75.5253
Soacha,4.5781,-74.2144
Neiva,2.93326,-75.28076
Cucuta,7.9075,-72.5047
Soledad,10.917119,-74.799151
Monteria,8.746334,-75.874964
